flex1,flex2,flex3,flex4,flex5,gyroRotX,gyroRotY,gyroRotZ,gyroAccX,gyroAccY,gyroAccZ,Alphabet
270,29,60,55,41,-2.42,9.33,-0.69,-0.09,-0.12,0.08,A
269,29,61,55,41,-2.34,9.31,-0.91,-0.08,-0.07,0.09,A
269,28,61,55,41,-2.07,9.31,-0.99,-0.12,0,0.04,A
269,28,60,55,41,-2.57,9.27,-1.13,-0.15,0,0.09,A
269,28,61,56,41,-2.57,9.27,-1.1,-0.2,-0.01,0.09,A
269,28,61,56,41,-2.01,9.54,-0.83,-0.2,-0.03,0.06,A
269,28,61,56,41,-1.97,9.53,-0.6,-0.18,-0.01,0.03,A
270,29,61,56,41,-1.61,9.5,-0.84,-0.21,-0.04,0.05,A
270,28,61,56,41,-2.3,9.36,-0.21,-0.13,-0.16,-0.06,A
270,29,61,55,41,-2.46,9.42,-0.61,-0.04,-0.09,0,A
270,29,61,56,40,-2.36,9.26,-0.77,-0.08,-0.07,0.01,A
270,29,61,55,41,-2.29,9.23,-0.73,-0.09,-0.04,0.02,A
270,28,61,56,41,-2.42,9.42,-0.54,-0.09,0,0.04,A
270,29,61,56,41,-2.38,9.29,-1.2,-0.07,0.06,0.03,A
270,29,61,56,41,-2.18,9.36,-0.78,-0.15,-0.05,0.02,A
270,29,61,56,41,-2.08,9.41,-0.74,-0.14,0.03,0.01,A
270,29,61,56,41,-2.34,9.52,-0.4,-0.12,0,0.02,A
270,28,61,56,41,-2.25,9.37,-0.8,-0.08,-0.02,0.02,A
270,29,61,56,41,-2.38,9.28,-0.96,-0.13,0.05,0.04,A
270,28,61,55,41,-2.16,9.42,-0.75,-0.12,-0.05,0.01,A
270,29,61,56,41,-2.23,9.43,-0.27,-0.09,-0.03,0.04,A
270,29,61,56,41,-2.14,9.23,-0.97,-0.05,0.08,-0.01,A
270,29,61,56,41,-2.35,9.31,-0.88,-0.13,0.18,0.01,A
270,29,61,56,41,-2.3,9.53,-0.56,-0.07,-0.02,0,A
270,29,61,56,41,-2.11,9.29,-0.59,-0.01,0.09,-0.02,A
270,28,61,56,41,-2.07,9.46,-1.29,-0.06,-0.09,0.04,A
270,29,61,56,41,-2.06,9.34,-0.84,-0.13,0.1,-0.01,A
270,29,61,56,41,-2.24,9.4,-0.77,-0.09,-0.08,-0.02,A
270,28,61,56,41,-2.3,9.32,-0.9,-0.07,0.08,-0.02,A
270,29,61,56,41,-2.25,9.35,-0.93,-0.12,0.03,0,A
270,28,61,56,41,-2.21,9.42,-0.63,-0.09,-0.04,0.02,A
270,29,61,56,41,-2.33,9.43,-0.88,-0.02,-0.03,-0.02,A
270,29,61,56,41,-2.57,9.37,-1.2,-0.04,-0.04,0.03,A
270,29,61,56,41,-2.39,8.98,-1.14,-0.09,-0.12,0.01,A
270,29,61,56,41,-2.64,9.37,-1.1,-0.16,0.01,0.08,A
270,29,61,56,42,-2.32,9.45,-0.67,-0.15,-0.04,0.09,A
270,29,61,56,42,-2.07,9.39,-0.5,-0.11,-0.1,0.09,A
270,28,61,56,41,-2,9.43,-1.15,-0.09,0.02,0.08,A
270,29,62,56,42,-2.06,9.38,-1.13,-0.14,-0.06,0.05,A
270,29,61,56,41,-2.22,9.45,-0.76,-0.14,-0.01,0.06,A
